Validation,Model,SplitLabel,Coverage,Accuracy,MacroF1
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.5,0.9936507936507937,0.7047619047619048
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.55,0.9884393063583815,0.7028571428571428
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.6,0.9841269841269841,0.7016806722689076
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.65,0.980440097799511,0.6965901482731482
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.7,0.9795918367346939,0.6967443515388722
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.75,0.9788135593220338,0.6962497151970837
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.8,0.9722222222222222,0.6917009533004154
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.8500000000000001,0.9700934579439252,0.7191281072177299
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.9,0.9559082892416225,0.733354469826673
BlindWell,ProbabilisticEnsemble,Blind_Well_01,0.95,0.9448160535117057,0.7372679090723262
BlindWell,ProbabilisticEnsemble,Blind_Well_01,1.0,0.9220985691573926,0.7165619271218331
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.5,0.9968253968253968,0.7047619047619048
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.55,0.9942196531791907,0.7067669172932332
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.6,0.9894179894179894,0.7047619047619048
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.65,0.9877750611246944,0.7036247334754798
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.7,0.9841269841269841,0.7012987012987013
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.75,0.9809322033898306,0.6952797379114247
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.8,0.9821428571428571,0.6971337552778175
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.8500000000000001,0.9738317757009346,0.6918025109425942
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.9,0.9629629629629629,0.7269192134337382
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,0.95,0.9414715719063546,0.7283384274339407
BlindWell,GeoConstrainedEnsemble,Blind_Well_01,1.0,0.918918918918919,0.712051817873952
BlindWell,HybridFusion,Blind_Well_01,0.5,0.9936507936507937,0.7047619047619048
BlindWell,HybridFusion,Blind_Well_01,0.55,0.9884393063583815,0.7028571428571428
BlindWell,HybridFusion,Blind_Well_01,0.6,0.9841269841269841,0.7016806722689076
BlindWell,HybridFusion,Blind_Well_01,0.65,0.980440097799511,0.6965901482731482
BlindWell,HybridFusion,Blind_Well_01,0.7,0.9795918367346939,0.6967443515388722
BlindWell,HybridFusion,Blind_Well_01,0.75,0.9788135593220338,0.6962497151970837
BlindWell,HybridFusion,Blind_Well_01,0.8,0.9722222222222222,0.6917009533004154
BlindWell,HybridFusion,Blind_Well_01,0.8500000000000001,0.9700934579439252,0.7191281072177299
BlindWell,HybridFusion,Blind_Well_01,0.9,0.9559082892416225,0.733354469826673
BlindWell,HybridFusion,Blind_Well_01,0.95,0.9448160535117057,0.7372679090723262
BlindWell,HybridFusion,Blind_Well_01,1.0,0.9220985691573926,0.7165619271218331
BlindWell,GeoConstrainedHybrid,Blind_Well_01,0.5,0.9968253968253968,0.7047619047619048
BlindWell,GeoConstrainedHybrid,Blind_Well_01,0.55,0.9942196531791907,0.7067669172932332
